external_transaction_id,reference_id,settlement_date,transaction_date,amount,transaction_status,payment_gateway,merchant_name,transaction_category,branch_code,remarks,customer_reference
ATOM_NAPH7KCNHE,SLM468386614638,2024-04-02,2024-01-04,4922.06,SUCCESS,BILLDESK,UBER*TRIP,REFUND,BRN008,SETTLED/SLM468386614638,CUST001783
CCX_LRUCMBO0NQ,TXN415048762347,2024-02-19,2024-02-17,28104.87,SUCCESS,PAYU,makemytrip.com,SUBSCRIPTION,BRN007,SETTLED/TXN415048762347,CUST000737
ATOM_TKJ1NU6YDI,SLM969977132135,2024-09-09,2024-11-28,18180.34,SUCCESS,INSTAMOJO,ZOMATO*MUMBAI,PAYMENT,BRN003,SETTLED/SLM969977132135,CUST001708
INST_EWYN5958BX,PU157469175439,2024-12-11,2024-10-25,3313.23,SUCCESS,BILLDESK,UBER*TRIP,SUBSCRIPTION,BRN008,SETTLED/PU157469175439,CUST002306
CCX_ZKSLLJ1NHU,TXN580442661702,2024-08-02,2024-04-03,11017.31,SUCCESS,CCAVENUE,AMAZON,REFUND,BRN004,SETTLED/TXN580442661702,CUST002766
ATOM_DSJV9KLEZ7,ORD316202746507,2024-06-25,2024-02-16,1666.39,SUCCESS,BILLDESK,PAYTM*WALLET,PAYMENT,BRN010,SETTLED/ORD316202746507,CUST000299
ATOM_QH5G5KLKO3,SLM968125632113,2024-08-27,2024-08-09,12976.06,SUCCESS,INSTAMOJO,ZOMATO*MUMBAI,REFUND,BRN009,SETTLED/SLM968125632113,CUST001979
INST_0RG7CQLOEG,UTR263450863603,2024-06-15,2024-11-02,2799.59,SUCCESS,PAYU,ZOMATO*MUMBAI,REFUND,BRN004,SETTLED/UTR263450863603,CUST001767
CCX_6ZMYFAZLM0,TXN628343989066,2024-08-02,2024-05-15,25736.38,SUCCESS,BILLDESK,makemytrip.com,PAYMENT,BRN009,SETTLED/TXN628343989066,CUST000276
INST_0T7017ZBEX,UTR714099109154,2024-07-05,2024-11-04,19746.43,SUCCESS,CCAVENUE,UBER*TRIP,PAYMENT,BRN008,SETTLED/UTR714099109154,CUST000524
RZP_KQI7KAQRH8,PAY238816554796,2024-06-04,2024-11-08,28498.86,SUCCESS,INSTAMOJO,PAYTM*WALLET,PAYMENT,BRN006,SETTLED/PAY238816554796,CUST002516
RZP_NM0E00GBL7,PAY817258028056,2024-05-25,2024-03-14,27265.44,SUCCESS,BILLDESK,makemytrip.com,SUBSCRIPTION,BRN001,SETTLED/PAY817258028056,CUST000227
INST_0LIJNEOAG5,ORD884018780629,2024-11-11,2024-09-26,9411.04,SUCCESS,CCAVENUE,PAYTM*WALLET,SUBSCRIPTION,BRN005,SETTLED/ORD884018780629,CUST000820
ATOM_IQD7I5BVSE,TXN464712998599,2024-08-08,2024-11-10,19175.78,SUCCESS,CCAVENUE,makemytrip.com,SUBSCRIPTION,BRN002,SETTLED/TXN464712998599,CUST001807
CCX_GZ60IKT45I,PU601181744973,2024-03-04,2024-06-02,27698.49,SUCCESS,PAYU,UBER*TRIP,REFUND,BRN008,SETTLED/PU601181744973,CUST002192
INST_XDZ7TVNE42,ORD799953155210,2024-03-08,2024-04-22,18220.73,SUCCESS,INSTAMOJO,UBER*TRIP,SUBSCRIPTION,BRN006,SETTLED/ORD799953155210,CUST000835
CCX_O10GDLJXAY,ORD837493242079,2024-09-11,2024-01-06,23754.16,SUCCESS,INSTAMOJO,SWIGGY*BANGALORE,REFUND,BRN009,SETTLED/ORD837493242079,CUST000430
INST_W88P1VXZ3R,SLM149381360713,2024-11-02,2024-03-06,23994.82,SUCCESS,PAYU,SWIGGY*BANGALORE,SUBSCRIPTION,BRN010,SETTLED/SLM149381360713,CUST000778
CCX_PGBEH0FSXE,ORD869560285931,2024-04-18,2024-11-13,23008.11,SUCCESS,BILLDESK,ZOMATO*MUMBAI,PAYMENT,BRN007,SETTLED/ORD869560285931,CUST002942
CCX_91JGIQRTDR,UTR611897881260,2024-08-21,2024-05-04,13138.3,SUCCESS,PAYU,makemytrip.com,REFUND,BRN003,SETTLED/UTR611897881260,CUST001807
ATOM_0WQ537PGC6,PAY558980779486,2024-02-02,2024-08-01,9886.68,SUCCESS,CCAVENUE,AMAZON,REFUND,BRN006,SETTLED/PAY558980779486,CUST000977
RZP_ON5JJ2SFEN,ORD226651294656,2024-04-09,2024-07-04,15339.08,SUCCESS,CCAVENUE,SWIGGY*BANGALORE,PAYMENT,BRN003,SETTLED/ORD226651294656,CUST000779
RZP_I9UBSN1WJ4,PU369301707057,2024-07-03,2024-02-20,13144.65,SUCCESS,PAYU,PAYTM*WALLET,SUBSCRIPTION,BRN001,SETTLED/PU369301707057,CUST000380
INST_1M0Z1RCWDN,PAY696992440713,2024-01-15,2024-04-20,11156.45,SUCCESS,BILLDESK,PAYTM*WALLET,REFUND,BRN001,SETTLED/PAY696992440713,CUST001314
INST_VMSAGHKGA4,ORD797649871323,2024-12-03,2024-09-12,18565.78,SUCCESS,PAYU,SWIGGY*BANGALORE,REFUND,BRN007,SETTLED/ORD797649871323,CUST000301
INST_XT8JXU9RZ2,PU684905949113,2024-01-19,2024-02-28,27803.69,SUCCESS,CCAVENUE,UBER*TRIP,SUBSCRIPTION,BRN010,SETTLED/PU684905949113,CUST002720
CCX_1ZI08YG3BX,UTR234305561540,2024-05-14,2024-06-05,27448.53,SUCCESS,CCAVENUE,ZOMATO*MUMBAI,PAYMENT,BRN009,SETTLED/UTR234305561540,CUST000489
INST_D2JZ4S4A61,ORD225852864216,2024-02-08,2024-06-28,29727.41,SUCCESS,BILLDESK,AMAZON,PAYMENT,BRN010,SETTLED/ORD225852864216,CUST002159
INST_CDZ89NC4KO,TXN654634019930,2024-04-21,2024-08-17,22929.79,SUCCESS,BILLDESK,AMAZON,SUBSCRIPTION,BRN006,SETTLED/TXN654634019930,CUST002477
CCX_MEFWL9OT3U,TXN525903369694,2024-03-25,2024-11-22,1030.42,SUCCESS,PAYU,ZOMATO*MUMBAI,SUBSCRIPTION,BRN003,SETTLED/TXN525903369694,CUST002927
INST_3ATEG2474A,PU306228473794,2024-04-13,2024-01-12,18886.69,SUCCESS,CCAVENUE,UBER*TRIP,PAYMENT,BRN008,SETTLED/PU306228473794,CUST002581
INST_0E5FID8VKE,UTR195638945203,2024-09-18,2024-01-13,3320.24,SUCCESS,INSTAMOJO,FLIPKART,SUBSCRIPTION,BRN003,SETTLED/UTR195638945203,CUST001382
CCX_RDQHLIC7VP,UTR373397200545,2024-05-26,2024-01-12,16581.7,SUCCESS,BILLDESK,AMAZON,SUBSCRIPTION,BRN009,SETTLED/UTR373397200545,CUST002305
ATOM_UI6R1AX88Y,PU813305268436,2024-06-13,2024-10-28,29500.01,SUCCESS,BILLDESK,SWIGGY*BANGALORE,REFUND,BRN001,SETTLED/PU813305268436,CUST000660
ATOM_Y1PSQBCF41,ORD702678054323,2024-07-23,2024-12-28,28249.86,SUCCESS,BILLDESK,ZOMATO*MUMBAI,PAYMENT,BRN002,SETTLED/ORD702678054323,CUST001158
ATOM_8IW2DATC15,TXN503998270069,2024-12-19,2024-03-12,28125.36,SUCCESS,CCAVENUE,SWIGGY*BANGALORE,REFUND,BRN003,SETTLED/TXN503998270069,CUST000657
ATOM_EXXC3PKAYG,TXN483494747335,2024-01-21,2024-06-17,198.27,SUCCESS,PAYU,makemytrip.com,REFUND,BRN010,SETTLED/TXN483494747335,CUST001334
ATOM_EF7VKCUQHK,UTR804414116538,2024-03-06,2024-08-13,25033.0,SUCCESS,BILLDESK,AMAZON,PAYMENT,BRN008,SETTLED/UTR804414116538,CUST000589
INST_ZLF0TBLIZO,ORD264441678023,2024-01-20,2024-09-25,10884.89,SUCCESS,PAYU,makemytrip.com,SUBSCRIPTION,BRN006,SETTLED/ORD264441678023,CUST000987
ATOM_WR46RN2IZX,PU842784431131,2024-04-08,2024-01-14,4055.9,SUCCESS,INSTAMOJO,PAYTM*WALLET,SUBSCRIPTION,BRN002,SETTLED/PU842784431131,CUST000716
INST_QP72K4WKF5,PAY801920351723,2024-06-18,2024-03-09,28387.19,SUCCESS,INSTAMOJO,FLIPKART,SUBSCRIPTION,BRN004,SETTLED/PAY801920351723,CUST000193
INST_YGUT9CT1G9,UTR556311769912,2024-04-06,2024-08-06,17001.32,SUCCESS,PAYU,FLIPKART,PAYMENT,BRN007,SETTLED/UTR556311769912,CUST002545
INST_CVBAYLH4F7,ORD615418585311,2024-08-08,2024-09-21,29615.8,SUCCESS,CCAVENUE,PAYTM*WALLET,REFUND,BRN006,SETTLED/ORD615418585311,CUST000194
CCX_U898N8177Y,ORD346397981152,2024-04-11,2024-09-08,8225.37,SUCCESS,PAYU,UBER*TRIP,PAYMENT,BRN002,SETTLED/ORD346397981152,CUST000808
ATOM_RUJWFJDR9T,PAY342915246129,2024-08-26,2024-04-15,23319.17,SUCCESS,PAYU,FLIPKART,PAYMENT,BRN005,SETTLED/PAY342915246129,CUST001788
ATOM_IOJ8Z8Z1TZ,UTR127483738532,2024-08-04,2024-07-02,16075.37,SUCCESS,INSTAMOJO,SWIGGY*BANGALORE,SUBSCRIPTION,BRN002,SETTLED/UTR127483738532,CUST001546
CCX_V9ABHWX5LG,PAY759959291066,2024-03-22,2024-03-13,13569.97,SUCCESS,INSTAMOJO,FLIPKART,SUBSCRIPTION,BRN010,SETTLED/PAY759959291066,CUST001052
ATOM_1KMR9T8FOC,ORD194935667931,2024-12-22,2024-11-05,19729.77,SUCCESS,CCAVENUE,ZOMATO*MUMBAI,REFUND,BRN007,SETTLED/ORD194935667931,CUST002891
ATOM_WK6HLK66A6,ORD322034884094,2024-07-01,2024-10-04,4936.39,SUCCESS,PAYU,PAYTM*WALLET,PAYMENT,BRN005,SETTLED/ORD322034884094,CUST000153
RZP_BWFDHR2P9Z,ORD960181055992,2024-05-26,2024-10-14,1782.86,SUCCESS,CCAVENUE,SWIGGY*BANGALORE,PAYMENT,BRN002,SETTLED/ORD960181055992,CUST000952
RZP_XA892IB06R,TXN985962844616,2024-07-26,2024-11-13,27671.78,SUCCESS,INSTAMOJO,PAYTM*WALLET,SUBSCRIPTION,BRN010,SETTLED/TXN985962844616,CUST001773
INST_35PNVV1G1N,TXN110810839258,2024-02-26,2024-12-16,12671.0,SUCCESS,PAYU,UBER*TRIP,SUBSCRIPTION,BRN006,SETTLED/TXN110810839258,CUST002859
ATOM_95I4N4F960,UTR932567993362,2024-05-06,2024-08-22,24623.69,SUCCESS,CCAVENUE,AMAZON,PAYMENT,BRN008,SETTLED/UTR932567993362,CUST001588
ATOM_S9TKKBCC07,UTR882787217688,2024-04-27,2024-06-13,26027.84,SUCCESS,CCAVENUE,FLIPKART,REFUND,BRN001,SETTLED/UTR882787217688,CUST002463
RZP_P8XPZ8G6I9,TXN938231280104,2024-08-08,2024-05-16,25205.19,SUCCESS,BILLDESK,AMAZON,PAYMENT,BRN008,SETTLED/TXN938231280104,CUST002511
CCX_00J5GCR4DY,TXN841719139961,2024-06-22,2024-10-23,23082.44,SUCCESS,PAYU,UBER*TRIP,REFUND,BRN008,SETTLED/TXN841719139961,CUST000829
INST_MHLEDC130Q,UTR413715555050,2024-02-15,2024-02-05,21641.93,SUCCESS,PAYU,PAYTM*WALLET,REFUND,BRN010,SETTLED/UTR413715555050,CUST000072
ATOM_R24DKPNNV1,ORD320375860495,2024-11-09,2024-10-23,27684.11,SUCCESS,PAYU,UBER*TRIP,SUBSCRIPTION,BRN009,SETTLED/ORD320375860495,CUST002394
CCX_FM4CYLWL2T,ORD172840230016,2024-08-10,2024-09-21,15173.6,SUCCESS,CCAVENUE,ZOMATO*MUMBAI,REFUND,BRN007,SETTLED/ORD172840230016,CUST002572
INST_RU5RH41NR0,PAY941375797680,2024-04-04,2024-08-06,10201.49,SUCCESS,INSTAMOJO,AMAZON,SUBSCRIPTION,BRN003,SETTLED/PAY941375797680,CUST001512
CCX_LIM2OZ4BA0,UTR606532897496,2024-07-01,2024-11-13,13350.88,SUCCESS,CCAVENUE,ZOMATO*MUMBAI,REFUND,BRN007,SETTLED/UTR606532897496,CUST001157
ATOM_B89SWSEJMO,PAY865979047074,2024-11-28,2024-08-12,1667.82,SUCCESS,BILLDESK,UBER*TRIP,REFUND,BRN008,SETTLED/PAY865979047074,CUST001406
INST_26QKFEIVZ5,ORD545109335697,2024-09-11,2024-08-02,7949.95,SUCCESS,BILLDESK,ZOMATO*MUMBAI,SUBSCRIPTION,BRN007,SETTLED/ORD545109335697,CUST000264
RZP_75MEQ5JPKL,ORD742458259078,2024-08-26,2024-11-11,22790.88,SUCCESS,CCAVENUE,AMAZON,PAYMENT,BRN001,SETTLED/ORD742458259078,CUST002560
ATOM_LF74EJ519C,PAY493063773921,2024-01-08,2024-04-08,5914.35,SUCCESS,CCAVENUE,PAYTM*WALLET,SUBSCRIPTION,BRN001,SETTLED/PAY493063773921,CUST000045
CCX_6S6UMNJI17,SLM623454863133,2024-01-04,2024-02-11,258.93,SUCCESS,PAYU,PAYTM*WALLET,REFUND,BRN004,SETTLED/SLM623454863133,CUST002709
CCX_I15Q67RD87,ORD584431982767,2024-04-06,2024-12-26,20416.54,SUCCESS,PAYU,UBER*TRIP,REFUND,BRN002,SETTLED/ORD584431982767,CUST000387
