transaction_id,reference_id,transaction_date,value_date,narration,debit_amount,credit_amount,balance,transaction_type,payment_mode,branch_code,customer_id,merchant_name,status
BKTXN0000017,SLM167886632385,2024-03-28,2024-09-13,NEFT-SLM167886632385-FLIPKART,15064.2,,190573.42,CREDIT,RTGS,BRN005,CUST002060,FLIPKART,DISPUTED
BKTXN0000018,PU157469175439,2024-10-25,2024-12-11,NEFT-PU157469175439-UBER*TRIP,3313.23,,128909.41,EMI,WALLET,BRN008,CUST002306,UBER*TRIP,DISPUTED
BKTXN0000019,PU601181744973,2024-06-02,2024-03-04,NEFT-PU601181744973-UBER*TRIP,,27698.49,19756.99,EMI,NACH,BRN008,CUST002192,UBER*TRIP,SUCCESS
BKTXN0000020,PAY696992440713,2024-04-20,2024-01-15,NEFT-PAY696992440713-PAYTM*WALLET,11156.45,,257016.97,CREDIT,UPI,BRN001,CUST001314,PAYTM*WALLET,DISPUTED
BKTXN0000021,PAY856891680202,2024-07-12,2024-07-02,NEFT-PAY856891680202-ZOMATO*MUMBAI,,8624.26,307458.69,EMI,NACH,BRN004,CUST000191,ZOMATO*MUMBAI,REVERSED
BKTXN0000022,TXN938231280104,2024-05-16,2024-08-08,NEFT-TXN938231280104-AMAZON,,25205.19,148399.04,SETTLEMENT,RTGS,BRN008,CUST002511,AMAZON,DISPUTED
BKTXN0000023,TXN985962844616,2024-11-13,2024-07-26,NEFT-TXN985962844616-PAYTM*WALLET,,27671.78,397843.72,SETTLEMENT,RTGS,BRN010,CUST001773,PAYTM*WALLET,DISPUTED
BKTXN0000024,PAY493063773921,2024-04-08,2024-01-08,NEFT-PAY493063773921-PAYTM*WALLET,5914.35,,455911.82,SETTLEMENT,CARD,BRN001,CUST000045,PAYTM*WALLET,REVERSED
BKTXN0000025,ORD702678054323,2024-12-28,2024-07-23,NEFT-ORD702678054323-ZOMATO*MUMBAI,28249.86,,152777.75,SALARY,WALLET,BRN002,CUST001158,ZOMATO*MUMBAI,DISPUTED
BKTXN0000026,ORD460011875928,2024-03-15,2024-04-14,NEFT-ORD460011875928-PAYTM*WALLET,,22485.04,118804.35,EMI,CARD,BRN009,CUST000774,PAYTM*WALLET,REVERSED
BKTXN0000027,UTR413715555050,2024-02-05,2024-02-15,NEFT-UTR413715555050-PAYTM*WALLET,21641.93,,463971.17,CREDIT,UPI,BRN010,CUST000072,PAYTM*WALLET,REVERSED
BKTXN0000028,TXN415048762347,2024-02-17,2024-02-19,NEFT-TXN415048762347-makemytrip.com,28104.87,,335573.22,SETTLEMENT,NACH,BRN007,CUST000737,makemytrip.com,REVERSED
BKTXN0000029,SLM623454863133,2024-02-11,2024-01-04,NEFT-SLM623454863133-PAYTM*WALLET,,258.93,81740.5,EMI,CARD,BRN004,CUST002709,PAYTM*WALLET,REVERSED
BKTXN0000030,UTR263450863603,2024-11-02,2024-06-15,NEFT-UTR263450863603-ZOMATO*MUMBAI,2799.59,,478477.69,SALARY,NACH,BRN004,CUST001767,ZOMATO*MUMBAI,REVERSED
BKTXN0000031,ORD195103488845,2024-07-12,2024-04-27,NEFT-ORD195103488845-AMAZON,9888.72,,39828.75,SETTLEMENT,RTGS,BRN004,CUST001180,AMAZON,SUCCESS
BKTXN0000032,SLM969977132135,2024-11-28,2024-09-09,NEFT-SLM969977132135-ZOMATO*MUMBAI,,18180.34,458919.57,CREDIT,WALLET,BRN003,CUST001708,ZOMATO*MUMBAI,SUCCESS
BKTXN0000033,TXN483494747335,2024-06-17,2024-01-21,NEFT-TXN483494747335-makemytrip.com,,198.27,154126.12,EMI,NACH,BRN010,CUST001334,makemytrip.com,REVERSED
BKTXN0000034,UTR755985095696,2024-11-03,2024-04-07,NEFT-UTR755985095696-AMAZON,,12032.25,363925.84,EMI,CARD,BRN005,CUST002677,AMAZON,DISPUTED
BKTXN0000035,TXN525903369694,2024-11-22,2024-03-25,NEFT-TXN525903369694-ZOMATO*MUMBAI,1030.42,,104410.96,SALARY,RTGS,BRN003,CUST002927,ZOMATO*MUMBAI,DISPUTED
BKTXN0000036,UTR234305561540,2024-06-05,2024-05-14,NEFT-UTR234305561540-ZOMATO*MUMBAI,27448.53,,55455.3,CREDIT,UPI,BRN009,CUST000489,ZOMATO*MUMBAI,DISPUTED
BKTXN0000037,TXN464712998599,2024-11-10,2024-08-08,NEFT-TXN464712998599-makemytrip.com,,19175.78,12621.86,SETTLEMENT,UPI,BRN002,CUST001807,makemytrip.com,REVERSED
BKTXN0000038,PU842784431131,2024-01-14,2024-04-08,NEFT-PU842784431131-PAYTM*WALLET,,4055.9,458724.29,EMI,NACH,BRN002,CUST000716,PAYTM*WALLET,DISPUTED
BKTXN0000039,PU286493074509,2024-02-28,2024-01-04,NEFT-PU286493074509-FLIPKART,,24859.22,397704.52,EMI,WALLET,BRN010,CUST000220,FLIPKART,DISPUTED
BKTXN0000040,ORD884018780629,2024-09-26,2024-11-11,NEFT-ORD884018780629-PAYTM*WALLET,,9411.04,496602.18,SALARY,WALLET,BRN005,CUST000820,PAYTM*WALLET,REVERSED
BKTXN0000041,SLM149381360713,2024-03-06,2024-11-02,NEFT-SLM149381360713-SWIGGY*BANGALORE,23994.82,,279441.04,SETTLEMENT,CARD,BRN010,CUST000778,SWIGGY*BANGALORE,REVERSED
BKTXN0000042,TXN580442661702,2024-04-03,2024-08-02,NEFT-TXN580442661702-AMAZON,,11017.31,470073.03,CREDIT,RTGS,BRN004,CUST002766,AMAZON,SUCCESS
BKTXN0000043,SLM808048169167,2024-07-26,2024-12-16,NEFT-SLM808048169167-UBER*TRIP,21446.38,,311479.77,CREDIT,NACH,BRN007,CUST001756,UBER*TRIP,DISPUTED
BKTXN0000044,ORD194935667931,2024-11-05,2024-12-22,NEFT-ORD194935667931-ZOMATO*MUMBAI,19729.77,,296027.41,CREDIT,UPI,BRN007,CUST002891,ZOMATO*MUMBAI,REVERSED
BKTXN0000045,PU684905949113,2024-02-28,2024-01-19,NEFT-PU684905949113-UBER*TRIP,,27803.69,305914.55,SALARY,UPI,BRN010,CUST002720,UBER*TRIP,DISPUTED
BKTXN0000046,UTR373397200545,2024-01-12,2024-05-26,NEFT-UTR373397200545-AMAZON,,16581.7,378927.18,CREDIT,WALLET,BRN009,CUST002305,AMAZON,DISPUTED
BKTXN0000047,ORD316202746507,2024-02-16,2024-06-25,NEFT-ORD316202746507-PAYTM*WALLET,1666.39,,216473.74,SALARY,RTGS,BRN010,CUST000299,PAYTM*WALLET,SUCCESS
BKTXN0000048,TXN654634019930,2024-08-17,2024-04-21,NEFT-TXN654634019930-AMAZON,,22929.79,399896.14,EMI,WALLET,BRN006,CUST002477,AMAZON,DISPUTED
BKTXN0000049,PAY941375797680,2024-08-06,2024-04-04,NEFT-PAY941375797680-AMAZON,,10201.49,367109.96,SETTLEMENT,UPI,BRN003,CUST001512,AMAZON,SUCCESS
BKTXN0000050,SLM985395353961,2024-12-26,2024-03-25,NEFT-SLM985395353961-AMAZON,20608.17,,283499.65,SALARY,UPI,BRN003,CUST001991,AMAZON,DISPUTED
BKTXN0000051,ORD615418585311,2024-09-21,2024-08-08,NEFT-ORD615418585311-PAYTM*WALLET,29615.8,,42775.38,EMI,CARD,BRN006,CUST000194,PAYTM*WALLET,DISPUTED
BKTXN0000052,PAY558980779486,2024-08-01,2024-02-02,NEFT-PAY558980779486-AMAZON,9886.68,,359709.48,CREDIT,WALLET,BRN006,CUST000977,AMAZON,DISPUTED
BKTXN0000053,TXN841719139961,2024-10-23,2024-06-22,NEFT-TXN841719139961-UBER*TRIP,23082.44,,124445.54,SALARY,NACH,BRN008,CUST000829,UBER*TRIP,DISPUTED
BKTXN0000054,PAY801920351723,2024-03-09,2024-06-18,NEFT-PAY801920351723-FLIPKART,28387.19,,162272.58,SETTLEMENT,WALLET,BRN004,CUST000193,FLIPKART,SUCCESS
BKTXN0000055,TXN110810839258,2024-12-16,2024-02-26,NEFT-TXN110810839258-UBER*TRIP,12671.0,,102333.54,CREDIT,NACH,BRN006,CUST002859,UBER*TRIP,REVERSED
BKTXN0000056,ORD226651294656,2024-07-04,2024-04-09,NEFT-ORD226651294656-SWIGGY*BANGALORE,15339.08,,53922.76,SETTLEMENT,WALLET,BRN003,CUST000779,SWIGGY*BANGALORE,SUCCESS
BKTXN0000057,UTR999461719710,2024-12-14,2024-08-23,NEFT-UTR999461719710-AMAZON,,13510.07,29784.07,SETTLEMENT,RTGS,BRN005,CUST002079,AMAZON,REVERSED
BKTXN0000058,PAY468214375309,2024-03-04,2024-01-15,NEFT-PAY468214375309-makemytrip.com,10060.12,,201999.65,CREDIT,RTGS,BRN004,CUST001176,makemytrip.com,REVERSED
BKTXN0000059,ORD264441678023,2024-09-25,2024-01-20,NEFT-ORD264441678023-makemytrip.com,,10884.89,240745.01,SALARY,NACH,BRN006,CUST000987,makemytrip.com,DISPUTED
BKTXN0000060,PAY342915246129,2024-04-15,2024-08-26,NEFT-PAY342915246129-FLIPKART,23319.17,,172101.29,EMI,CARD,BRN005,CUST001788,FLIPKART,DISPUTED
BKTXN0000061,PU813305268436,2024-10-28,2024-06-13,NEFT-PU813305268436-SWIGGY*BANGALORE,,29500.01,287452.45,SALARY,NACH,BRN001,CUST000660,SWIGGY*BANGALORE,DISPUTED
BKTXN0000062,PAY661738532064,2024-04-25,2024-05-06,NEFT-PAY661738532064-SWIGGY*BANGALORE,,8254.05,455158.19,SALARY,CARD,BRN002,CUST002389,SWIGGY*BANGALORE,REVERSED
BKTXN0000063,TXN503998270069,2024-03-12,2024-12-19,NEFT-TXN503998270069-SWIGGY*BANGALORE,,28125.36,72894.29,CREDIT,CARD,BRN003,CUST000657,SWIGGY*BANGALORE,REVERSED
BKTXN0000064,PU356052424859,2024-10-20,2024-01-25,NEFT-PU356052424859-UBER*TRIP,,8971.43,434968.87,SALARY,UPI,BRN008,CUST000106,UBER*TRIP,SUCCESS
BKTXN0000065,SLM468386614638,2024-01-04,2024-04-02,NEFT-SLM468386614638-UBER*TRIP,,4922.06,180240.54,SETTLEMENT,NACH,BRN008,CUST001783,UBER*TRIP,SUCCESS
BKTXN0000066,UTR714099109154,2024-11-04,2024-07-05,NEFT-UTR714099109154-UBER*TRIP,19746.43,,126381.11,CREDIT,NACH,BRN008,CUST000524,UBER*TRIP,DISPUTED
BKTXN0000067,PU541255923356,2024-07-24,2024-10-06,NEFT-PU541255923356-ZOMATO*MUMBAI,,9396.31,458068.78,SALARY,NACH,BRN004,CUST001227,ZOMATO*MUMBAI,DISPUTED
BKTXN0000068,ORD584431982767,2024-12-26,2024-04-06,NEFT-ORD584431982767-UBER*TRIP,20416.54,,269422.59,SALARY,CARD,BRN002,CUST000387,UBER*TRIP,REVERSED
BKTXN0000069,ORD869560285931,2024-11-13,2024-04-18,NEFT-ORD869560285931-ZOMATO*MUMBAI,23008.11,,322476.7,SALARY,UPI,BRN007,CUST002942,ZOMATO*MUMBAI,SUCCESS
BKTXN0000070,PU715260504663,2024-10-07,2024-04-01,NEFT-PU715260504663-makemytrip.com,28964.39,,333483.6,SETTLEMENT,CARD,BRN009,CUST001240,makemytrip.com,REVERSED
BKTXN0000071,UTR611897881260,2024-05-04,2024-08-21,NEFT-UTR611897881260-makemytrip.com,,13138.3,21955.95,CREDIT,WALLET,BRN003,CUST001807,makemytrip.com,DISPUTED
BKTXN0000072,ORD225852864216,2024-06-28,2024-02-08,NEFT-ORD225852864216-AMAZON,29727.41,,487517.44,CREDIT,WALLET,BRN010,CUST002159,AMAZON,SUCCESS
BKTXN0000073,UTR804414116538,2024-08-13,2024-03-06,NEFT-UTR804414116538-AMAZON,25033.0,,127733.55,CREDIT,NACH,BRN008,CUST000589,AMAZON,DISPUTED
BKTXN0000074,TXN908501183278,2024-05-19,2024-06-27,NEFT-TXN908501183278-FLIPKART,11390.19,,441213.76,EMI,UPI,BRN007,CUST002816,FLIPKART,DISPUTED
BKTXN0000075,UTR346852290101,2024-10-12,2024-08-26,NEFT-UTR346852290101-AMAZON,,4727.5,359496.43,CREDIT,RTGS,BRN008,CUST001380,AMAZON,REVERSED
BKTXN0000076,ORD357930638882,2024-03-16,2024-03-22,NEFT-ORD357930638882-ZOMATO*MUMBAI,24122.22,,387208.98,SALARY,NACH,BRN009,CUST000514,ZOMATO*MUMBAI,SUCCESS
BKTXN0000077,ORD960181055992,2024-10-14,2024-05-26,NEFT-ORD960181055992-SWIGGY*BANGALORE,,1782.86,350061.41,CREDIT,NACH,BRN002,CUST000952,SWIGGY*BANGALORE,DISPUTED
BKTXN0000078,PAY817258028056,2024-03-14,2024-05-25,NEFT-PAY817258028056-makemytrip.com,,27265.44,234065.68,EMI,UPI,BRN001,CUST000227,makemytrip.com,SUCCESS
BKTXN0000079,SLM943807759613,2024-01-28,2024-10-27,NEFT-SLM943807759613-SWIGGY*BANGALORE,15576.1,,314695.35,CREDIT,NACH,BRN004,CUST000910,SWIGGY*BANGALORE,SUCCESS
BKTXN0000080,ORD172840230016,2024-09-21,2024-08-10,NEFT-ORD172840230016-ZOMATO*MUMBAI,,15173.6,322680.74,SALARY,WALLET,BRN007,CUST002572,ZOMATO*MUMBAI,DISPUTED
BKTXN0000081,SLM785117634730,2024-11-17,2024-04-21,NEFT-SLM785117634730-PAYTM*WALLET,,1143.85,433536.56,CREDIT,CARD,BRN005,CUST000562,PAYTM*WALLET,DISPUTED
BKTXN0000082,PAY238816554796,2024-11-08,2024-06-04,NEFT-PAY238816554796-PAYTM*WALLET,28498.86,,312301.62,SETTLEMENT,RTGS,BRN006,CUST002516,PAYTM*WALLET,DISPUTED
BKTXN0000083,UTR785683486014,2024-06-21,2024-02-06,NEFT-UTR785683486014-SWIGGY*BANGALORE,,23229.34,321313.5,CREDIT,CARD,BRN004,CUST001814,SWIGGY*BANGALORE,DISPUTED
BKTXN0000084,ORD320375860495,2024-10-23,2024-11-09,NEFT-ORD320375860495-UBER*TRIP,27684.11,,456316.13,EMI,WALLET,BRN009,CUST002394,UBER*TRIP,REVERSED
BKTXN0000085,SLM647424769899,2024-11-14,2024-12-02,NEFT-SLM647424769899-UBER*TRIP,4072.96,,336633.28,EMI,CARD,BRN004,CUST000857,UBER*TRIP,REVERSED
BKTXN0000086,UTR813864433834,2024-05-08,2024-07-05,NEFT-UTR813864433834-PAYTM*WALLET,18467.7,,460124.78,EMI,CARD,BRN004,CUST000023,PAYTM*WALLET,SUCCESS
BKTXN0000087,ORD799953155210,2024-04-22,2024-03-08,NEFT-ORD799953155210-UBER*TRIP,,18220.73,36326.0,EMI,WALLET,BRN006,CUST000835,UBER*TRIP,DISPUTED
BKTXN0000088,PAY715886755148,2024-07-23,2024-03-27,NEFT-PAY715886755148-ZOMATO*MUMBAI,,9398.13,292285.43,SALARY,WALLET,BRN004,CUST001466,ZOMATO*MUMBAI,DISPUTED
BKTXN0000089,ORD742458259078,2024-11-11,2024-08-26,NEFT-ORD742458259078-AMAZON,22790.88,,360529.83,SETTLEMENT,CARD,BRN001,CUST002560,AMAZON,DISPUTED
BKTXN0000090,UTR170443563331,2024-06-21,2024-04-09,NEFT-UTR170443563331-PAYTM*WALLET,,2952.76,128600.43,SALARY,CARD,BRN001,CUST000149,PAYTM*WALLET,SUCCESS
BKTXN0000091,TXN624919589366,2024-12-16,2024-12-16,NEFT-TXN624919589366-makemytrip.com,,20801.18,294635.71,SALARY,RTGS,BRN007,CUST000447,makemytrip.com,REVERSED
BKTXN0000092,UTR918878943249,2024-02-05,2024-08-19,NEFT-UTR918878943249-makemytrip.com,,19865.5,271361.85,SALARY,NACH,BRN004,CUST001005,makemytrip.com,SUCCESS
BKTXN0000093,UTR942955033119,2024-01-22,2024-05-12,NEFT-UTR942955033119-UBER*TRIP,7340.69,,459539.37,SETTLEMENT,NACH,BRN009,CUST001278,UBER*TRIP,SUCCESS
BKTXN0000094,UTR914765282488,2024-12-17,2024-11-26,NEFT-UTR914765282488-AMAZON,23185.82,,263053.44,SALARY,WALLET,BRN006,CUST001909,AMAZON,DISPUTED
BKTXN0000095,SLM579128107137,2024-01-27,2024-02-04,NEFT-SLM579128107137-SWIGGY*BANGALORE,23492.78,,451111.85,EMI,NACH,BRN009,CUST002865,SWIGGY*BANGALORE,DISPUTED
BKTXN0000096,ORD111746897282,2024-06-24,2024-03-05,NEFT-ORD111746897282-UBER*TRIP,,6189.53,477248.27,SALARY,UPI,BRN010,CUST002626,UBER*TRIP,DISPUTED
BKTXN0000097,PU387140141917,2024-01-28,2024-02-09,NEFT-PU387140141917-ZOMATO*MUMBAI,,25928.7,426943.22,SETTLEMENT,WALLET,BRN007,CUST002727,ZOMATO*MUMBAI,DISPUTED
BKTXN0000098,ORD471356333202,2024-10-18,2024-10-20,NEFT-ORD471356333202-ZOMATO*MUMBAI,20102.88,,161586.23,CREDIT,CARD,BRN010,CUST001184,ZOMATO*MUMBAI,SUCCESS
BKTXN0000099,SLM348153964374,2024-02-16,2024-04-15,NEFT-SLM348153964374-FLIPKART,,9506.57,203610.62,EMI,WALLET,BRN006,CUST002198,FLIPKART,DISPUTED
BKTXN0000100,ORD409016651265,2024-12-01,2024-12-17,NEFT-ORD409016651265-AMAZON,,17784.47,62691.34,SALARY,NACH,BRN008,CUST001756,AMAZON,SUCCESS
